id	name	pattern	note	font	bold	fill	font_rgb	fill_rgb	style_id
84	R	rtc		蓝	B	n	0070C0		21
85	signal	signal		蓝	B	n	0070C0		21
86	track	track		蓝	B	n	0070C0		21
87	bytedns	bytedns		黑	N	n	000000		3
88	nodesche	nodesche		黑	N	n	000000		3
89	dnsdoc	dnsdoc		黑	N	n	000000		3
90	pcv	pcv	未知慎用	黑	N	n	000000		3
91	pcs	pcs	太短慎用	粉	N	n	FF0066		80
92	ws00	ws00		黑	N	n	000000		3
93	chunk	chunk		红	N	n	C00000		47
94	xgp	xgp		黑	N	n	000000		3
95	volcvideo	volcvideo		红	N	n	FF0000		7
96	nodedns	nodedns		黑	N	n	000000		3
97	kwaizt	kwaizt		黑	N	n	000000		36
98	kspkg	kspkg		黑	B	n	000000		17
99	qtp2p	qtp2p		黑	B	n	000000		17
100	tcdn	tcdn		红	N	n	FF0000		7
101	wsglw	wsglw		黑	B	n	000000		17
102	p2p-log	p2p-log		黑	N	n	000000		3
103	stun2	stun2		蓝	B	n	0070C0		21
104	ndcpp	ndcpp		黑	N	n	000000		3
105	dyp	starrydyn		黑	N	n	000000		3
106	hsf	pullhsf		黑	N	n	000000		3
107	hitv	hitv		红	N	n	FF0000		7
108	tpa	tpa		蓝	B	n	0070C0		21
109	NAT	NAT	疑似也影响nVIDIA驱动下载更新	蓝	N	n	0070C0		19
110	iqy	71edge		黑	B	n	000000		17
111	ayq	iqiyipic		黑	N	n	000000		3
112	bvc	bvc	B站高能弹幕	白	N	y	E8E8E8	FFFF00	66
113	wxs	wxs	可能是微信?	绿	B	n	00B050		25
114	flive	flive		黑	N	n	000000		3
115	pull-hs	pull-hs		黑	N	n	000000		3
116	d.kugou	d.kugou		黑	B	n	000000		17
117	isure6	isure		黑	B	n	000000		17
118	rtmp	rtmp		黑	N	n	000000		3
119	ixigua	ixigua	影响番茄系应用	黑	N	y	000000	FFFF00	15
120	pull-flv	pull-flv		黑	N	n	000000		3
121	flive.douyincdn.com	flive.douyincdn.com		黑	B	n	000000		17
122	p2pupgrade	p2pupgrade		黑	B	n	000000		17
123	cm.l	cm.l	慎用	黑	N	y	000000	FFFF00	15
